datetime,Open,High,Low,Close,Volume
8/7/2024 19:55,186.43,186.49,185,186.49,114
8/7/2024 19:50,186.5,186.5,186.5,186.5,42
8/7/2024 19:45,185.118,185.32,185.118,185.32,5
8/7/2024 19:40,185.32,185.33,185.32,185.33,7
8/7/2024 19:35,186.28,186.29,185.98,186,455
8/7/2024 19:30,186.44,186.49,186.3,186.3,375
8/7/2024 19:25,186.31,186.31,186.31,186.31,1
8/7/2024 19:20,186.68,186.69,186.5,186.5,720
8/7/2024 19:15,186.68,186.68,186.56,186.56,5
8/7/2024 19:00,186.8,186.8,186.315,186.315,804123
8/7/2024 18:55,186.55,186.55,186.55,186.55,1
8/7/2024 18:50,186.53,186.53,186.5,186.5,25
8/7/2024 18:45,186.7,186.7,186.51,186.51,414
8/7/2024 18:40,186.7,186.7,186.7,186.7,18
8/7/2024 18:35,186.52,186.52,186.52,186.52,4
8/7/2024 18:30,186.8,186.8,186.8,186.8,804078
8/7/2024 18:20,186.64,186.7,186.31,186.31,116
8/7/2024 18:15,186.64,186.64,186.64,186.64,10
8/7/2024 18:10,186.65,186.7,186.62,186.7,361
8/7/2024 18:05,186.18,186.18,186.18,186.18,1
8/7/2024 18:00,186.27,186.27,186.18,186.18,27
8/7/2024 17:50,186.18,186.18,186.18,186.18,1
8/7/2024 17:45,186.64,186.64,186.64,186.64,1
8/7/2024 17:40,186.08,186.08,186.08,186.08,1
8/7/2024 17:35,186,186,186,186,4
8/7/2024 17:30,186.19,186.2,186.07,186.07,13
8/7/2024 17:25,186.2,186.2,186.2,186.2,26
8/7/2024 17:20,186.8,186.8,186.2,186.2,266
8/7/2024 17:15,186,186,186,186,9
8/7/2024 17:05,183.564,186.5,181.912,186.5,147
8/7/2024 16:50,186,186.5,186,186.5,75
8/7/2024 16:45,186.79,186.79,186.7,186.75,150
8/7/2024 16:40,186.8,186.8,186.8,186.8,336
8/7/2024 16:35,186.8,186.8,186.51,186.51,23
8/7/2024 16:30,186.69,186.8,186.5,186.8,14
8/7/2024 16:25,186.8,186.8,186.8,186.8,1
8/7/2024 16:20,187.01,187.01,186,186,12423
8/7/2024 16:15,186.8,186.9,186,186.9,89
8/7/2024 16:10,186.8,187.13,186.8,187.13,806370
8/7/2024 16:05,186.8,187.99,186.8,187.99,7187
8/7/2024 16:00,186.87,188.26,186.8,186.8,1930043
8/7/2024 15:55,187.13,187.13,186.71,186.87,306787
8/7/2024 15:50,187.89,187.92,187.06,187.13,82913
8/7/2024 15:45,187.54,187.97,187.505,187.93,60782
8/7/2024 15:40,187.75,187.77,187.48,187.54,31991
8/7/2024 15:35,187.6,187.92,187.59,187.74,25938
8/7/2024 15:30,187.61,187.755,187.48,187.58,43822
8/7/2024 15:25,187.4,187.65,187.33,187.63,107847
8/7/2024 15:20,187.46,187.57,187.25,187.405,19847
8/7/2024 15:15,187.315,187.53,187.285,187.47,24526
8/7/2024 15:10,187.32,187.455,187.24,187.3,18339
8/7/2024 15:05,187.28,187.43,187.245,187.29,22875
8/7/2024 15:00,186.95,187.28,186.922,187.24,16063
8/7/2024 14:55,186.87,187.02,186.83,186.925,15292
8/7/2024 14:50,186.84,186.9,186.7,186.845,15378
8/7/2024 14:45,187.19,187.21,186.76,186.915,55391
8/7/2024 14:40,187.255,187.37,187.2,187.2,12815
8/7/2024 14:35,187.07,187.28,187.07,187.25,13267
8/7/2024 14:30,187.17,187.21,187.02,187.1,15856
8/7/2024 14:25,187.16,187.45,187.16,187.19,16127
8/7/2024 14:20,187.27,187.28,187.04,187.1,47297
8/7/2024 14:15,187.205,187.34,186.99,187.22,21617
8/7/2024 14:10,187.485,187.485,187.14,187.145,15613
8/7/2024 14:05,187.79,187.84,187.39,187.45,18097
8/7/2024 14:00,188.23,188.26,187.656,187.74,49983
8/7/2024 13:55,188.16,188.26,188.05,188.25,22474
8/7/2024 13:50,188.2,188.34,187.955,188.2,27632
8/7/2024 13:45,188.51,188.62,188.135,188.16,22446
8/7/2024 13:40,188.84,188.95,188.505,188.51,27117
8/7/2024 13:35,188.71,188.91,188.62,188.79,32930
8/7/2024 13:30,188.37,188.67,188.34,188.67,30909
8/7/2024 13:25,188.43,188.679,188.32,188.34,27509
8/7/2024 13:20,187.925,188.4,187.925,188.395,28357
8/7/2024 13:15,188.385,188.41,187.87,187.91,44214
8/7/2024 13:10,188.46,188.5,188.22,188.41,19218
8/7/2024 13:05,188.52,188.71,188.39,188.39,24339
8/7/2024 13:00,188.62,188.67,188.32,188.465,29467
8/7/2024 12:55,188.385,188.76,188.34,188.59,36905
8/7/2024 12:50,188.3,188.47,188.18,188.39,25968
8/7/2024 12:45,188.74,188.85,188.3,188.3,18217
8/7/2024 12:40,188.97,189.03,188.74,188.74,18814
8/7/2024 12:35,189.125,189.16,188.98,189.02,13831
8/7/2024 12:30,189.055,189.14,188.985,189.14,16990
8/7/2024 12:25,189.07,189.12,188.82,189.055,25773
8/7/2024 12:20,188.94,189.17,188.94,189.06,22730
8/7/2024 12:15,189.015,189.06,188.94,188.98,12244
8/7/2024 12:10,188.72,189.025,188.63,189.015,28793
8/7/2024 12:05,188.615,188.83,188.55,188.725,20217
8/7/2024 12:00,189.09,189.192,188.575,188.61,23573
8/7/2024 11:55,189.13,189.27,189.04,189.07,18340
8/7/2024 11:50,189.17,189.21,188.96,189.135,28626
8/7/2024 11:45,189.48,189.495,189.06,189.16,25673
8/7/2024 11:40,189.46,189.87,189.335,189.52,31313
8/7/2024 11:35,189.42,189.585,189.36,189.527,19552
8/7/2024 11:30,189.58,189.58,189.331,189.424,16104
8/7/2024 11:25,189.36,189.63,189.34,189.577,16871
8/7/2024 11:20,189.34,189.485,189.3,189.4,19798
8/7/2024 11:15,189.505,189.74,189.25,189.34,24276
8/7/2024 11:10,189.57,189.57,189.25,189.505,33817
8/7/2024 11:05,189.55,189.645,189.44,189.56,37308
8/7/2024 11:00,189.54,189.66,189.39,189.58,32386
8/7/2024 10:55,189.264,189.57,189.21,189.57,27056
8/7/2024 10:50,189.31,189.31,189.17,189.24,18693
8/7/2024 10:45,188.94,189.37,188.92,189.31,34907
8/7/2024 10:40,188.624,188.98,188.55,188.92,28705
8/7/2024 10:35,188.3,188.6,188.3,188.555,31901
8/7/2024 10:30,188.33,188.39,188.13,188.325,29837
8/7/2024 10:25,188.41,188.49,188.21,188.37,19411
8/7/2024 10:20,188.425,188.68,188.42,188.42,33242
8/7/2024 10:15,188.6,188.79,188.34,188.395,29150
8/7/2024 10:10,189.055,189.12,188.56,188.57,31325
8/7/2024 10:05,189.11,189.2,188.85,189.11,48345
8/7/2024 10:00,189.04,189.345,189,189.17,61947
8/7/2024 9:55,188.84,189.2,188.67,189.04,51038
8/7/2024 9:50,188.96,188.96,188.44,188.805,30311
8/7/2024 9:45,188.695,189.13,188.46,188.855,49486
8/7/2024 9:40,188.36,188.88,188.34,188.7,27331
8/7/2024 9:35,188.39,188.73,188.09,188.49,18255
8/7/2024 9:30,188.08,188.62,187.2,188.5,109341
8/7/2024 9:25,187.201,188.86,187.2,188.18,475
8/7/2024 9:20,187.81,187.91,187.2,187.2,60
8/7/2024 9:15,188.5,188.5,187.47,187.81,1969
8/7/2024 9:10,188.3,188.33,184.845,184.845,131
8/7/2024 9:05,188.8,188.8,188.8,188.8,27
8/7/2024 9:00,188.39,188.8,188.2,188.8,131
8/7/2024 8:55,188.5,188.5,188.49,188.49,102
8/7/2024 8:50,188.5,188.5,188.5,188.5,1
8/7/2024 8:40,188.21,188.21,188.21,188.21,1
8/7/2024 8:35,187.2,188.8,187.2,188.8,6
8/7/2024 8:30,188.915,188.915,188.16,188.24,132
8/7/2024 8:25,188.4,188.4,188.4,188.4,1
8/7/2024 8:20,188.49,188.5,188.49,188.5,10
8/7/2024 8:15,188.75,189.95,188.75,189.95,6
8/7/2024 8:10,188.46,189.97,188.46,189.97,3
8/7/2024 8:05,188.19,188.5,188.19,188.5,5
8/7/2024 8:00,188,189.1,186.8,186.8,1095
8/7/2024 7:50,188.49,188.49,188.49,188.49,2
8/7/2024 7:45,188.48,188.49,188.48,188.49,6
8/7/2024 7:35,188.39,188.48,188.32,188.45,1590
8/7/2024 7:30,188.17,188.39,188.16,188.31,590
8/7/2024 7:25,188.08,188.32,188.08,188.15,6
8/7/2024 7:20,188.35,188.35,188.35,188.35,2
8/7/2024 7:15,188.04,188.35,188.04,188.35,6
8/7/2024 7:10,188.2,188.26,188.19,188.22,68
8/7/2024 7:05,188,188,188,188,4
8/7/2024 7:00,188.01,188.19,187.95,188.04,180
8/7/2024 6:55,187.95,188.17,187.95,188.17,24
8/7/2024 6:50,187.99,188.14,187.99,188.04,35
8/7/2024 6:25,188.19,188.19,188.16,188.16,2
8/7/2024 6:20,187.93,187.95,187.93,187.93,30
8/7/2024 6:10,187.93,188.02,187.79,188,626
8/7/2024 6:05,188.05,188.05,188.05,188.05,10
8/7/2024 6:00,188.29,188.29,188,188,15
8/7/2024 5:55,188.25,188.29,188.17,188.17,23
8/7/2024 5:50,188.27,188.27,187.87,187.87,19
8/7/2024 5:45,188.31,188.37,188.31,188.37,40
8/7/2024 5:40,188.02,188.02,188.02,188.02,1
8/7/2024 5:35,188.4,188.4,188.05,188.05,329
8/7/2024 5:30,188.39,188.4,188.39,188.4,2
8/7/2024 5:25,188.39,188.39,188.39,188.39,19
8/7/2024 5:15,188.49,188.49,188.49,188.49,5
8/7/2024 5:10,188.69,188.7,188.65,188.68,138
8/7/2024 5:05,188.75,188.75,188.75,188.75,33
8/7/2024 4:55,188.35,188.5,188.35,188.5,7
8/7/2024 4:50,187.85,187.98,187.85,187.98,178
8/7/2024 4:45,187.85,187.85,187.85,187.85,10
8/7/2024 4:40,187.77,188.3,187.77,188.3,2
8/7/2024 4:10,187,187,187,187,2
8/7/2024 4:05,186.95,186.95,186.95,186.95,1
8/7/2024 4:00,186.94,186.94,186.88,186.94,31
8/6/2024 19:55,186.5,186.79,186.5,186.59,38
8/6/2024 19:45,184.03,186.5,184.03,186.5,10
8/6/2024 19:40,186.5,186.79,186.5,186.79,4
8/6/2024 19:20,186.5,186.5,186.5,186.5,10
8/6/2024 19:00,186.8,186.8,186.6,186.6,687954
8/6/2024 18:45,185.81,185.81,185.81,185.81,1
8/6/2024 18:35,185.607,185.607,185.607,185.607,30
8/6/2024 18:30,186.8,186.8,186.59,186.6,687968
8/6/2024 18:25,186.79,186.79,186.79,186.79,202
8/6/2024 18:20,186.58,186.72,186.58,186.72,13
8/6/2024 18:15,186.51,186.55,186.5,186.55,73
8/6/2024 18:10,186.5,186.5,186.5,186.5,1
8/6/2024 18:05,186.632,186.79,186.632,186.79,6
8/6/2024 18:00,184.03,184.03,184.03,184.03,2
8/6/2024 17:50,186.55,186.55,185.58,185.81,56
8/6/2024 17:45,185.15,186.27,185,186.27,49
8/6/2024 17:35,186.55,186.8,184.03,185.99,4126
8/6/2024 17:30,186.79,186.79,186.79,186.79,3
8/6/2024 17:25,186,186,186,186,3
8/6/2024 17:20,186.8,186.8,186.8,186.8,1
8/6/2024 17:15,186.8,186.8,186.8,186.8,100
8/6/2024 17:05,185.99,185.99,185.99,185.99,47
8/6/2024 17:00,184.03,186.796,184.03,186.79,15
8/6/2024 16:55,186,186,185.99,185.99,5
8/6/2024 16:50,186.45,186.45,186.05,186.05,70
8/6/2024 16:45,186.45,186.52,186.45,186.52,5
8/6/2024 16:40,186.8,186.8,186.76,186.76,102
8/6/2024 16:35,186.8,186.8,186.4,186.52,48
8/6/2024 16:25,186.96,186.98,185.99,186.8,59
8/6/2024 16:20,186.8,186.81,186.8,186.81,2
8/6/2024 16:15,186.8,187.6,186.8,187.6,3
8/6/2024 16:10,186.8,189,186.8,189,687953
8/6/2024 16:05,186.8,189,186.8,186.8,12229
8/6/2024 16:00,186.72,189,186.7,186.75,1596264
8/6/2024 15:55,187.16,187.27,186.62,186.72,314797
8/6/2024 15:50,187.54,187.8,187.11,187.145,117290
8/6/2024 15:45,187.66,187.81,187.355,187.55,72151
8/6/2024 15:40,187.81,187.95,187.71,187.715,39197
8/6/2024 15:35,187.74,187.89,187.64,187.79,35464
8/6/2024 15:30,187.72,187.84,187.57,187.74,42359
8/6/2024 15:25,187.975,188.03,187.625,187.735,32745
8/6/2024 15:20,187.34,188.05,187.31,187.99,40701
8/6/2024 15:15,187.655,187.68,187.3,187.36,26603
8/6/2024 15:10,187.645,187.89,187.42,187.67,29422
8/6/2024 15:05,187.81,187.91,187.53,187.65,46173
8/6/2024 15:00,188.21,188.29,187.745,187.8,59726
8/6/2024 14:55,188.75,188.76,188.13,188.17,45013
8/6/2024 14:50,188.815,188.85,188.635,188.725,17376
8/6/2024 14:45,188.715,188.9,188.595,188.83,27510
8/6/2024 14:40,188.72,188.77,188.625,188.72,17280
